ID сотрудника,Номера палета,Номер короба ,Баркод,Название товара (идет в этикетку),Кол-во,Склад,Баркод короба
,,1,2040997182264,Перчатки боксерские,33,,"WB_1519323586
"
,,2,2040997182264,Перчатки боксерские,33,,"WB_1519323587
"
,,3,2040997182264,Перчатки боксерские,32,,WB_1519323588
,,4,2042151581128,Перчатки боксерские,30,,WB_1519323589
,,4,2042151365636,Перчатки боксерские,3,,WB_1519323589
,,5,2040997175747,Перчатки боксерские,33,,"WB_1519323590
"
,,6,2040997175747,Перчатки боксерские,33,,WB_1519323591
,,7,2040997175747,Перчатки боксерские,14,,WB_1519323592
,,7,2042151365636,Перчатки боксерские,19,,WB_1519323592
,,8,2042151581135,Перчатки боксерские,28,,WB_1519323593
,,8,2042151365636,Перчатки боксерские,5,,WB_1519323593
,,9,2042151465800,Перчатки боксерские,20,,WB_1519323594
,,9,2042151528963,Перчатки боксерские,10,,WB_1519323594
,,9,2042151365636,Перчатки боксерские,3,,WB_1519323594
,,10,2042151528956,Перчатки боксерские,20,,WB_1519323595
,,10,2042151465817,Перчатки боксерские,13,,WB_1519323595
,,11,2042151465817,Перчатки боксерские,7,,WB_1519323596
,,11,2048336509116,Щитки для единоборств,21,,WB_1519323596
,,12,2048336509109,Щитки для единоборств,28,,WB_1519323597
,,13,2048336509123,Щитки для единоборств,28,,WB_1519323598
,,14,2048336511126,Щитки для единоборств,28,,WB_1519323599
,,15,2048336467126,Щитки для единоборств,28,,WB_1519323600
,,16,2048336467133,Щитки для единоборств,28,,WB_1519323601
,,17,2048336511119,Щитки для единоборств,28,,WB_1519323602
,,18,2048336467140,Щитки для единоборств,28,,WB_1519323603
,,19,2048336511102,Щитки для единоборств,28,,WB_1519323604
,,20,2048336467140,Щитки для единоборств,11,,WB_1519323605
,,20,2048336509116,Щитки для единоборств,9,,WB_1519323605
,,20,2048336511126,Щитки для единоборств,8,,WB_1519323605
,,21,2048336509123,Щитки для единоборств,10,,WB_1519323606
,,21,2048336509109,Щитки для единоборств,2,,WB_1519323606
,,21,2048336511102,Щитки для единоборств,2,,WB_1519323606
,,21,2048336511126,Щитки для единоборств,2,,WB_1519323606
,,21,2048336511119,Щитки для единоборств,1,,WB_1519323606
,,21,2048336467126,Щитки для единоборств,2,,WB_1519323606
,,21,2048336467133,Щитки для единоборств,2,,WB_1519323606
,,,,,294,,
,,,,,,,
,,,2048336511119,Щитки для единоборств,1,брак ,
,,,2048336511126,Щитки для единоборств,1,брак ,
,,,2048336509123,Щитки для единоборств,1,брак ,
,,,2042151581135,Перчатки боксерские,1,брак ,
